"sdg","company","avg_score","n"
"SDG 1","jswsteel",3.7,30
"SDG 2","jswsteel",3.45,20
"SDG 3","coromandel",4.03,61
"SDG 4","coromandel",4.53,38
"SDG 5","coromandel",4.21,19
"SDG 6","coromandel",4.41,39
"SDG 7","coromandel",5.28,39
"SDG 8","jswsteel",3.86,81
"SDG 9","jswsteel",3.82,34
"SDG 10","coromandel",3.55,31
"SDG 11","coromandel",4.42,12
"SDG 12","jswsteel",3.77,78
"SDG 13","coromandel",4.38,97
"SDG 14","jswsteel",3,10
"SDG 15","coromandel",3.81,99
"SDG 16","jswsteel",3,27
"SDG 17","coromandel",3,39
