"SDG","Year","Previous score","Current score","Drop"
"SDG 11",2024,8,4.5,-3.5
"SDG 14",2022,4,1,-3
"SDG 1",2021,6,3.25,-2.75
"SDG 5",2020,3.67,1,-2.67
"SDG 11",2022,5,2.33,-2.67
"SDG 7",2022,6.25,3.75,-2.5
"SDG 3",2024,4.8,2.67,-2.13
"SDG 16",2022,4.33,2.2,-2.13
"SDG 7",2024,6.11,4,-2.11
"SDG 10",2024,4.2,2.25,-1.95
"SDG 4",2024,5.6,4,-1.6
"SDG 9",2020,4.29,2.86,-1.43
"SDG 5",2025,5.33,4,-1.33
"SDG 6",2021,4.33,3,-1.33
"SDG 2",2020,3.85,2.67,-1.18
"SDG 12",2022,4.19,3.05,-1.14
"SDG 15",2020,4.82,3.82,-1
